CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOC,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3
12/14/2021,20:13,BROOKLYN,11215.0,40.66576,-73.9845,"(40.66576, -73.9845)",AB,AB,366 12 STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,AB,4486605,Sedan,AB,AB
12/14/2021,12:54,BROOKLYN,11217.0,40.687534,-73.9775,"(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,AB,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,AB,4487052,Sedan,Bike,AB
12/14/2021,17:15,BROOKLYN,11211.0,40.710957,-73.951126,"(40.710957, -73.951126)",GRAND STREET,UNION AVENUE,AB,1.0,0.0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,AB,4486556,Bus,Station Wagon/Sport Utility Vehicle,AB
12/14/2021,22:49,BRONX,10455.0,40.81813,-73.910126,"(40.81813, -73.910126)",AB,AB,713 EAGLE AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4486875,Taxi,AB,AB
12/12/2021,9:00,QUEENS,11385.0,40.70447,-73.90148,"(40.70447, -73.90148)",AB,AB,59-14 67 AVENUE,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,AB,4486933,Station Wagon/Sport Utility Vehicle,AB,AB
12/14/2021,16:25,AB,0.0,40.784615,-73.953964,"(40.784615, -73.953964)",EAST 93 STREET,AB,AB,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,AB,4486581,Van,Bike,AB
04/14/2021,14:30,AB,0.0,0.0,0.0,"(0,0)",EASTCHESTER ROAD,PELHAM PARKWAY NORTH,AB,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,AB,4407520,Bus,AB,AB
12/16/2021,6:59,AB,0.0,0.0,0.0,"(0,0)",KINGSLAND AVENUE,MEEKER AVENUE,AB,1.0,0.0,1,0,0,0,0,0,Traffic Control Disregarded,AB,AB,4486960,AB,AB,AB
06/29/2022,16:00,AB,0.0,0.0,0.0,"(0,0)",WILLIAMSBURG BRIDGE OUTER ROADWA,AB,AB,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,AB,4542336,Motorscooter,Station Wagon/Sport Utility Vehicle,AB
04/15/2021,16:15,AB,0.0,0.0,0.0,"(0,0)",HUTCHINSON RIVER PARKWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,AB,AB,4407665,Station Wagon/Sport Utility Vehicle,AB,AB
